diplom,nom_diplome,type_diplome_oraccle,type_diplome_sise
2204257,ARTS- LETTRES- LANGUES : LITTERATURES,XB,XD
2204260,ARTS- LETTRES- LANGUES : LITTERATURES ET ARTS,XB,XD
2204605,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE ET APPLICATIONS:ENERGIE- MEDICAMENTS ET ENVIRONNEMENT,XB,XD
2202030,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204259,ARTS- LETTRES- LANGUES : LITTERATURES ET ARTS,XB,XD
2205000,ARTS- LETTRES- LANGUES : LITTERATURES ET ARTS,XB,XD
2204923,ARTS- LETTRES- LANGUES : LITTERATURES ET ARTS,XB,XD
2204384,SCIENCES HUMAINES ET SOCIALES : CIVILISATIONS:HISTOIRE ET PATRIMOINE,XB,XD
2204408,SCIENCES HUMAINES ET SOCIALES : ESPACES- SOCIETES- ENVIRONNEMENT,XB,XD
2204801,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE- MATERIAUX,XB,XD
2204138,ARTS- LETTRES- LANGUES : CIVILISATIONS ETRANGERES,XB,XD
2224770,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204393,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204989,DROIT- ECONOMIE- GESTION : EDUCATION ET FORMATION,XB,XD
2204615,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2204150,ARTS- LETTRES- LANGUES : EDUCATION ET FORMATION,XB,XD
2204618,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2204616,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2204152,ARTS- LETTRES- LANGUES : EDUCATION ET FORMATION,XB,XD
2204395,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204617,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION,XB,XD
2204151,ARTS- LETTRES- LANGUES : EDUCATION ET FORMATION,XB,XD
2204988,DROIT- ECONOMIE- GESTION : EDUCATION ET FORMATION,XB,XD
2204149,ARTS- LETTRES- LANGUES : EDUCATION ET FORMATION,XB,XD
2204391,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204396,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204992,DROIT- ECONOMIE- GESTION : EDUCATION ET FORMATION,XB,XD
2204859,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2204750,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION- DE LA FORMATION ET DE L'ENSEIGNEMENT,XB,XD
2204751,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION- DE LA FORMATION ET DE L'ENSEIGNEMENT,XB,XD
2204747,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION- DE LA FORMATION ET DE L'ENSEIGNEMENT,XB,XD
2204748,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION- DE LA FORMATION ET DE L'ENSEIGNEMENT,XB,XD
2204749,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION- DE LA FORMATION ET DE L'ENSEIGNEMENT,XB,XD
2216187,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215506,ARTS- LETTRES- LANGUES : ARTS- LETTRES ET LANGUES,XB,XD
2215663,DROIT- ECONOMIE- GESTION : ECONOMIE GESTION ADMINISTRATION,XB,XD
2216169,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES POUR L'INGENIEUR,XB,XD
2216167,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES POUR L'INGENIEUR,XB,XD
2215509,ARTS- LETTRES- LANGUES : ARTS- LETTRES ET LANGUES,XB,XD
2216204,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204515,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2216007,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2215508,ARTS- LETTRES- LANGUES : ARTS- LETTRES ET LANGUES,XB,XD
2215886,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2216194,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2216151,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU VIVANT ET DE L'ENVIRONNEMENT,XB,XD
2215947,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2215510,ARTS- LETTRES- LANGUES : ARTS- LETTRES ET LANGUES,XB,XD
2215664,DROIT- ECONOMIE- GESTION : ECONOMIE GESTION ADMINISTRATION,XB,XD
2216071,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2216150,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU VIVANT ET DE L'ENVIRONNEMENT,XB,XD
2216152,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU VIVANT ET DE L'ENVIRONNEMENT,XB,XD
2216166,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES POUR L'INGENIEUR,XB,XD
2204190,ARTS- LETTRES- LANGUES : LANGUES- CULTURES ET INTERCULTURALITE,XB,XD
2204432,SCIENCES HUMAINES ET SOCIALES : INFORMATION- COMMUNICATION- CULTURE ET DOCUMENTATION,XB,XD
2204519,SCIENCES HUMAINES ET SOCIALES : SCIENCES HISTORIQUES,XB,XD
2204189,ARTS- LETTRES- LANGUES : LANGUES- CULTURES ET INTERCULTURALITE,XB,XD
2204224,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2204187,ARTS- LETTRES- LANGUES : LANGUES- CULTURES ET INTERCULTURALITE,XB,XD
2204142,ARTS- LETTRES- LANGUES : CREATION ET ETUDE DES ARTS CONTEMPORAINS,XB,XD
2204143,ARTS- LETTRES- LANGUES : CREATION ET ETUDE DES ARTS CONTEMPORAINS,XB,XD
2204494,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'ANTIQUITE,XB,XD
2204192,ARTS- LETTRES- LANGUES : LANGUES- CULTURES ET INTERCULTURALITE,XB,XD
2215593,ARTS- LETTRES- LANGUES- SCIENCES HUMAINES ET SOCIALES- SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET FORMATION,XB,XD
2215592,ARTS- LETTRES- LANGUES- SCIENCES HUMAINES ET SOCIALES- SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET FORMATION,XB,XD
2215883,SCIENCES HUMAINES ET SOCIALES : INTERVENTION- EDUCATION ET FORMATION,XB,XD
2216034,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- FORMATION ET CULTURE SCIENTIFIQUES,XB,XD
2216033,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- FORMATION ET CULTURE SCIENTIFIQUES,XB,XD
2215885,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215594,ARTS- LETTRES- LANGUES- SCIENCES HUMAINES ET SOCIALES- SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET FORMATION,XB,XD
2215536,ARTS- LETTRES- LANGUES : LANGUES- IDEES- SOCIETES,XB,XD
2215878,SCIENCES HUMAINES ET SOCIALES : INTERVENTION- EDUCATION ET FORMATION,XB,XD
2215588,ARTS- LETTRES- LANGUES : TEXTES- CULTURE- PUBLICS,XB,XD
2216032,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT- FORMATION ET CULTURE SCIENTIFIQUES,XB,XD
2215870,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE- ENVIRONNEMENT ET AMENAGEMENT,XB,XD
2216121,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2216006,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2216081,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES- INFORMATIQUE- SCIENCES PHYSIQUES- METIERS DE L'ENSEIGNEMENT- DE L'INFORMATION,XB,XD
2216080,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES- INFORMATIQUE- SCIENCES PHYSIQUES- METIERS DE L'ENSEIGNEMENT- DE L'INFORMATION,XB,XD
2204154,ARTS- LETTRES- LANGUES : ENSEIGNEMENT ET FORMATION,XB,XD
2204155,ARTS- LETTRES- LANGUES : ENSEIGNEMENT ET FORMATION,XB,XD
2204153,ARTS- LETTRES- LANGUES : ENSEIGNEMENT ET FORMATION,XB,XD
2204398,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT ET FORMATION,XB,XD
2204629,SCIENCES- TECHNOLOGIES- SANTE : ENSEIGNEMENT ET FORMATION,XB,XD
2215894,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET DOCUMENT,XB,XD
2204466,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION (MEEF),XB,XD
2215913,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT ET DE LA FORMATION (MEEF),XB,XD
2215553,ARTS- LETTRES- LANGUES : LETTRES ET LANGUES,XB,XD
2215736,DROIT- ECONOMIE- GESTION : STRATEGIE ET INGENIERIE ECONOMIQUE (SIE),XB,XD
2215554,ARTS- LETTRES- LANGUES : LETTRES ET LANGUES,XB,XD
2215893,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET DOCUMENT,XB,XD
2225525,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2204925,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204455,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204935,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204457,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204937,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204928,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204739,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204941,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204930,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204927,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204456,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204933,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204458,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204931,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION ET DE LA FORMATION,XB,XD
2216069,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2216014,SCIENCES- TECHNOLOGIES- SANTE : ECOLOGIE,XB,XD
2216131,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE- CHIMIE,XB,XD
2216132,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE- CHIMIE,XB,XD
2204239,DROIT- ECONOMIE- GESTION : ECONOMIE ET GESTION DE L'ENTREPRISE,XB,XD
2204496,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION,XB,XD
2215842,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2216192,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU SPORT,XB,XD
2215974,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET INFORMATIQUE,XB,XD
2204560,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET INFORMATIQUE,XB,XD
2215438,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET INFORMATIQUE,XB,XD
2215853,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2205009,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU SPORT,XB,XD
2204759,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2216114,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2216171,SCIENCES- TECHNOLOGIES- SANTE : SPORT- SANTE- SOCIETE,XB,XD
2216079,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES- INFORMATIQUE,XB,XD
2215980,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE,XB,XD
2216011,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE ET PROCEDES,XB,XD
2216085,SCIENCES- TECHNOLOGIES- SANTE : MECANIQUE- ENERGETIQUE ET INGENIERIE,XB,XD
2204724,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES FONDAMENTALES ET APPLIQUEES (MFA),XB,XD
2216000,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2216078,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES FONDAMENTALES ET APPLIQUEES (MFA),XB,XD
2216038,SCIENCES- TECHNOLOGIES- SANTE : ENVIRONNEMENT,XB,XD
2216126,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE APPLIQUEE ET MECANIQUE,XB,XD
2204792,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE FONDAMENTALE,XB,XD
2216017,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET ENSEIGNEMENT PRIMAIRE,XB,XD
2215732,DROIT- ECONOMIE- GESTION : SCIENCES DU SPORT ET SOCIETE,XB,XD
2216148,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DU SPORT ET DE LA MOTRICITE,XB,XD
2215577,ARTS- LETTRES- LANGUES : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2216120,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE,XB,XD
2216113,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2215922,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE,XB,XD
2204344,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'UNIVERS- ENVIRONNEMENT- ECOLOGIE,XB,XD
2204340,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204342,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE ET APPLICATIONS,XB,XD
2204335,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE MOLECULAIRE ET CELLULAIRE,XB,XD
2204336,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE,XB,XD
2216067,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2216186,SCIENCES HUMAINES ET SOCIALES : LETTRES- LANGUES ET SCIENCES HUMAINES,XB,XD
2216159,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2216180,ARTS- LETTRES- LANGUES : LETTRES- LANGUES ET SCIENCES HUMAINES,XB,XD
2215504,ARTS- LETTRES- LANGUES : ARTS,XB,XD
2216168,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES POUR L'INGENIEUR,XB,XD
2216179,ARTS- LETTRES- LANGUES : LETTRES- LANGUES ET SCIENCES HUMAINES,XB,XD
2215802,LETTRES- SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215800,LETTRES- SCIENCES HUMAINES ET SOCIALES : LETTRES ET LANGUES,XB,XD
2215805,LETTRES- SCIENCES HUMAINES ET SOCIALES : STAPS,XB,XD
2225330,LETTRES- SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215801,LETTRES- SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215799,LETTRES- SCIENCES HUMAINES ET SOCIALES : LETTRES ET LANGUES,XB,XD
2215798,LETTRES- SCIENCES HUMAINES ET SOCIALES : LETTRES ET LANGUES,XB,XD
2215797,LETTRES- SCIENCES HUMAINES ET SOCIALES : LETTRES ET LANGUES,XB,XD
2215795,LETTRES- SCIENCES HUMAINES ET SOCIALES : LANGAGES- CULTURES ET COMMUNICATION,XB,XD
2216055,SCIENCES- TECHNOLOGIES- SANTE : INFORMATIQUE ET MATHEMATIQUES,XB,XD
2215684,DROIT- ECONOMIE- GESTION : MANAGEMENT,XB,XD
2215803,LETTRES- SCIENCES HUMAINES ET SOCIALES : OCEAN INDIEN:GEOGRAPHIE ET HISTOIRE,XB,XD
2216135,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE-CHIMIE,XB,XD
2216024,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2216026,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2216023,SCIENCES- TECHNOLOGIES- SANTE : EDUCATION ET FORMATION EN SCIENCES ET TECHNIQUES,XB,XD
2216173,SCIENCES- TECHNOLOGIES- SANTE : STAPS,XB,XD
2215926,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SECONDAIRE,XB,XD
2216156,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2225252,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2204986,DROIT- ECONOMIE- GESTION : ECONOMIE ET SOCIETE,XB,XD
2215954,SCIENCES HUMAINES ET SOCIALES : SCIENCES POUR LES METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215950,SCIENCES HUMAINES ET SOCIALES : SCIENCES POUR LES METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215953,SCIENCES HUMAINES ET SOCIALES : SCIENCES POUR LES METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215951,SCIENCES HUMAINES ET SOCIALES : SCIENCES POUR LES METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215952,SCIENCES HUMAINES ET SOCIALES : SCIENCES POUR LES METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
8000094,DIPLOME DU COLLEGE UNIVERSITAIRE DE SCIENCES PO,UX,UP
2205001,ARTS- LETTRES- LANGUES : METIERS DES LANGUES ET CULTURES ETRANGERES,XB,XD
2215590,ARTS- LETTRES- LANGUES- SCIENCES- SCIENCES HUMAINES ET SOCIALES : EDUQUER- ENSEIGNER- APPRENDRE,XB,XD
2204390,SCIENCES HUMAINES ET SOCIALES : CULTURES- SOCIETES- ESPACES:MONDES MODERNES ET CONTEMPORAINS,XB,XD
2204290,DROIT- ECONOMIE- GESTION : SCIENCES ECONOMIQUES,XB,XD
2215589,ARTS- LETTRES- LANGUES- SCIENCES- SCIENCES HUMAINES ET SOCIALES : EDUQUER- ENSEIGNER- APPRENDRE,XB,XD
2204505,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2204389,SCIENCES HUMAINES ET SOCIALES : CULTURES- SOCIETES- ESPACES:MONDES MODERNES ET CONTEMPORAINS,XB,XD
2204713,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
2204823,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA MATIERE,XB,XD
2204821,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA MATIERE,XB,XD
2204287,DROIT- ECONOMIE- GESTION : SCIENCES DU MANAGEMENT,XB,XD
2204570,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA VIE ET DE LA SANTE,XB,XD
2204160,ARTS- LETTRES- LANGUES : INFORMATION- COMMUNICATION- CULTURE,XB,XD
2204388,SCIENCES HUMAINES ET SOCIALES : MONDES ANCIENS ET MEDIEVAUX- TERRITOIRES- ENVIRONNEMENT DU PASSE,XB,XD
2215838,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215844,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215848,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215839,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2216174,SCIENCES- TECHNOLOGIES- SANTE : TRANSFORMATION ET VALORISATION DES RESSOURCES NATURELLES,XB,XD
2215855,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2215845,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,XB,XD
2204876,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES- INGENIERIE ET METIERS DU SPORT,XB,XD
2216127,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE ET SCIENCES DE L'INGENIEUR,XB,XD
2216097,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION AUX TECHNOLOGIES DE L'INDUSTRIE- DE LA GESTION ET DE LA SANTE,XB,XD
2215856,SCIENCES HUMAINES ET SOCIALES : EDUCATION- TRAVAIL ET FORMATION,XB,XD
2215995,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE-BIORESSOURCES,XB,XD
2216094,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION AUX TECHNOLOGIES DE L'INDUSTRIE- DE LA GESTION ET DE LA SANTE,XB,XD
2205034,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE - MATERIAUX,XB,XD
2215868,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,XB,XD
2216095,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION AUX TECHNOLOGIES DE L'INDUSTRIE- DE LA GESTION ET DE LA SANTE,XB,XD
2215857,SCIENCES HUMAINES ET SOCIALES : EDUCATION- TRAVAIL ET FORMATION,XB,XD
2205035,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2215522,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES ETRANGERES,XB,XD
2215540,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2215874,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,XB,XD
2205036,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2215869,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,XB,XD
2216096,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION AUX TECHNOLOGIES DE L'INDUSTRIE- DE LA GESTION ET DE LA SANTE,XB,XD
2216093,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE LA FORMATION AUX TECHNOLOGIES DE L'INDUSTRIE- DE LA GESTION ET DE LA SANTE,XB,XD
2205037,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215537,ARTS- LETTRES- LANGUES : LETTRES,XB,XD
2205033,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE-BIORESSOURCES,XB,XD
2215573,ARTS- LETTRES- LANGUES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT- DE LA FORMATION ET DE L'ACCOMPAGNEMENT,XB,XD
2215915,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT- DE LA FORMATION ET DE L'ACCOMPAGNEMENT,XB,XD
2205063,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2205059,ARTS- LETTRES- LANGUES : LETTRES- LANGUES ET AFFAIRES INTERNATIONALES,XB,XD
2215556,ARTS- LETTRES- LANGUES : LETTRES- LANGUES ET AFFAIRES INTERNATIONALES,XB,XD
2216099,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT DE LA FORMATION ET DE L'ACCOMPAGNEMENT,XB,XD
2205064,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES BIOLOGIQUES,XB,XD
2215708,DROIT- ECONOMIE- GESTION : METIERS DE L'EDUCATION- DE L'ENSEIGNEMENT- DE LA FORMATION ET DE L'ACCOMPAGNEMENT,XB,XD
2216158,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2215872,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,XB,XD
2205066,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2205082,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,XB,XD
2216129,SCIENCES- TECHNOLOGIES- SANTE : ENERGIE ET MATERIAUX,XB,XD
2215887,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,XB,XD
2215681,DROIT- ECONOMIE- GESTION : INGENIERIE ECONOMIQUE,XB,XD
2215981,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES BIOLOGIQUES,XB,XD
2205067,SCIENCES- TECHNOLOGIES- SANTE : ENERGIE ET MATERIAUX,XB,XD
2216066,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES,XB,XD
2205065,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE DES MOLECULES BIOACTIVES,XB,XD
2216004,SCIENCES- TECHNOLOGIES- SANTE : CHIMIE DES MOLECULES BIOACTIVES,XB,XD
2205107,SCIENCES HUMAINES ET SOCIALES : HISTOIRE- HISTOIRE DE L'ART,XB,XD
2215580,ARTS- LETTRES- LANGUES - SCIENCES HUMAINES ET SOCIALES - SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2215581,ARTS- LETTRES- LANGUES - SCIENCES HUMAINES ET SOCIALLES  - SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION,XB,XD
2204161,ARTS- LETTRES- LANGUES : LANGUES,XB,XD
2204537,SCIENCES HUMAINES ET SOCIALES : STAPS,XB,XD
2204822,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA MATIERE,XB,XD
2204709,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES ET APPLICATIONS,XB,XD
